ClientID,Name,Age,Location ID,Joined Bank,Banking Contact,Nationality,Occupation,Fee Structure,Loyalty Classification,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting,BRId,GenderID,IAId
C1030,Andrew Rogers,78,L230,2012-03-13,(628)604-9177x394,Sao Tome and Principe,Animal technologist,Student,Silver,154671,393729,4,6302,2,85400,1,0,No,14948,2,Medium,R1030,3,A117
C1031,Michael Ortiz,36,L231,2022-09-14,746.014.9247x959,Mozambique,Clinical molecular geneticist,Premium,Silver,62441,381065,1,10214,0,89886,1,0,Yes,45921,0,Medium,R1031,3,A108
C1032,Brett Adkins,36,L232,2019-12-20,001-529-116-4939x893,Egypt,Scientific laboratory technician,Premium,Bronze,86721,485011,4,16156,3,64823,1,0,Yes,15665,1,Low,R1032,1,A105
C1033,Anita Rodriguez,67,L233,2010-02-08,(980)813-6178x066,Cuba,Cartographer,Premium,Bronze,185454,442028,3,17223,1,86239,1,0,No,17648,2,Low,R1033,1,A114
C1034,Robin Sims,25,L234,2008-12-09,848.192.8786x7513,Costa Rica,"Engineer, water",Student,Bronze,49918,376970,0,19112,1,25949,1,1,Yes,23656,0,High,R1034,1,A100
C1035,Beverly Adams,37,L235,2009-12-02,(048)462-5551,Mozambique,Careers information officer,Premium,Gold,121780,170125,4,6585,3,20148,1,0,No,20664,1,Medium,R1035,3,A109
C1036,Sean Flowers,56,L236,2007-11-08,+1-673-238-0501,United States Minor Outlying Islands,Museum education officer,Premium,Gold,166808,67089,4,15380,2,89294,0,0,Yes,45764,1,High,R1036,1,A111
C1037,Kim Roach,18,L237,2019-02-08,(167)944-3424,Singapore,Corporate investment banker,Student,Platinum,44569,1976,2,90,2,72223,1,0,No,18443,1,Low,R1037,3,A103
C1038,Amanda Doyle,20,L238,2008-05-08,757.557.2533,Montenegro,Site engineer,Business,Silver,83161,110775,3,6936,3,48915,1,1,Yes,43344,1,High,R1038,2,A108
C1039,Dylan Torres,64,L239,2022-10-02,991-282-3647,Gibraltar,"Teacher, adult education",Premium,Gold,144362,113702,0,10931,0,34954,0,1,No,20334,0,High,R1039,2,A100
C1040,Sarah Moreno,73,L240,2013-10-15,327.475.9220x0824,Angola,Risk analyst,Student,Bronze,131921,165882,4,15936,3,48442,1,1,Yes,3532,1,Low,R1040,3,A105
C1041,Monica Wall,42,L241,2019-01-29,(205)438-7471x761,Saint Barthelemy,Financial controller,Student,Silver,43365,453956,2,10995,1,13778,0,1,No,29798,2,Low,R1041,1,A113
C1042,Christina Vaughn,18,L242,2007-07-27,(971)736-2713,Swaziland,Charity officer,Business,Gold,99088,72601,1,488,3,55887,1,0,No,16801,2,High,R1042,1,A112
C1043,Christy Henry,41,L243,2015-05-13,001-504-885-7411,South Africa,Web designer,Student,Silver,159530,156051,2,8508,2,70543,1,1,Yes,49437,0,High,R1043,2,A115
C1044,Tiffany Morales,75,L244,2012-05-19,895-979-0967,Mozambique,"Therapist, occupational",Premium,Gold,104959,11635,2,9925,3,45777,0,0,Yes,25855,1,High,R1044,2,A114
C1045,Andrew Tucker,43,L245,2005-12-22,+1-955-740-5644,Nigeria,Hospital pharmacist,Student,Bronze,40307,430297,2,11005,0,48855,0,1,No,30713,0,High,R1045,3,A109
C1046,Dr. Leslie Baker,21,L246,2010-02-18,+1-224-870-1701x67230,Mayotte,Recycling officer,Premium,Gold,116846,154738,2,15434,0,61200,0,1,No,24996,2,High,R1046,1,A102
C1047,John Perez,36,L247,2011-01-13,927.581.0526,Finland,Printmaker,Standard,Platinum,188563,311068,4,4468,1,79875,1,1,No,22906,2,Medium,R1047,3,A104
C1048,David Nichols,61,L248,2005-12-15,001-705-491-6336x75977,Hungary,Armed forces training and education officer,Business,Silver,181149,3225,4,11569,2,36763,0,1,Yes,31957,0,Low,R1048,2,A103
C1049,Jessica Lewis,41,L249,2014-07-07,585-140-2307,Brunei Darussalam,"Designer, exhibition/display",Student,Silver,51974,276440,2,15446,2,3627,0,0,No,12681,0,High,R1049,1,A110
C1050,Lindsay Shannon,70,L250,2006-04-21,+1-180-741-9827x165,Gambia,Bonds trader,Business,Platinum,57741,415435,1,13334,0,68237,1,1,Yes,18143,2,Low,R1050,1,A103
C1051,Timothy Payne,39,L251,2008-08-17,6610136504,Northern Mariana Islands,Oncologist,Premium,Silver,95864,327342,2,18725,0,59849,0,0,No,20419,1,High,R1051,2,A113
C1052,Kathleen Palmer,19,L252,2008-01-27,(499)787-6483,Cayman Islands,Operations geologist,Premium,Platinum,42000,209834,4,19412,4,74800,0,0,No,48357,2,Medium,R1052,3,A103
C1053,Amanda Smith,46,L253,2017-03-07,659.214.2218x6994,Tajikistan,Financial trader,Business,Bronze,115283,51400,2,16308,4,87220,1,1,Yes,27737,2,High,R1053,3,A110
C1054,Natalie Cooley,69,L254,2014-04-17,587.753.2016,Israel,Architectural technologist,Student,Gold,179022,265182,2,19221,3,68418,0,1,No,29130,2,Low,R1054,1,A110
C1055,Austin Young,19,L255,2023-08-25,059-598-7119x94964,Venezuela,Planning and development surveyor,Premium,Gold,92974,164963,3,11606,0,43373,0,1,Yes,18876,0,Medium,R1055,1,A119
C1056,James Lewis,49,L256,2023-05-15,4873297888,Equatorial Guinea,Bookseller,Standard,Silver,160644,300586,3,18075,0,47275,1,0,No,34131,0,Low,R1056,1,A108
C1057,Tracy Rivers,61,L257,2016-08-10,660-702-2585x632,Namibia,"Editor, commissioning",Business,Silver,76612,39286,4,6004,1,99391,0,0,No,31015,0,Medium,R1057,1,A101
C1058,Jennifer Anderson,40,L258,2020-03-22,383-264-0265x8163,Canada,Accounting technician,Premium,Bronze,130711,467234,0,9238,0,72103,1,1,Yes,32498,0,Low,R1058,3,A105
C1059,John Martin,71,L259,2022-01-10,497.470.6238x248,United States of America,"Scientist, product/process development",Student,Gold,152108,114153,1,5028,4,19771,0,1,No,10122,2,High,R1059,3,A107
C1060,Christopher Guerra,21,L260,2011-01-18,350-153-1331x647,Afghanistan,"Geologist, wellsite",Business,Silver,182186,209684,0,570,0,98585,1,0,No,20433,0,Medium,R1060,3,A106
C1061,Isaac Nguyen,49,L261,2007-07-16,054.686.7491,Bulgaria,Training and development officer,Business,Gold,57034,329673,4,429,1,22298,1,0,No,38319,1,High,R1061,3,A112
C1062,Rhonda Miller,44,L262,2019-04-17,388.519.7711,Cyprus,Community development worker,Student,Silver,136410,493738,1,15835,3,87142,1,1,Yes,6636,1,High,R1062,2,A100
C1063,Marcus Barnes,40,L263,2024-01-08,001-908-056-7811x7514,Latvia,Clinical embryologist,Standard,Gold,173939,323422,0,9769,0,56140,0,1,Yes,16301,1,High,R1063,3,A113
C1064,Lisa Hernandez,34,L264,2010-05-10,413-518-3088,Cambodia,Waste management officer,Premium,Platinum,93354,397284,4,16443,2,73614,1,1,No,23376,1,Low,R1064,2,A116
C1065,Michael Young,48,L265,2007-10-02,(468)956-0345x86864,Afghanistan,Biomedical scientist,Standard,Platinum,50795,34597,4,7064,4,466,1,0,No,30196,1,Medium,R1065,1,A106
C1066,Amanda Morgan,36,L266,2020-11-04,385.837.3133,Lebanon,Furniture designer,Business,Gold,120024,237675,3,16535,1,49695,1,0,Yes,30907,0,Medium,R1066,1,A113
C1067,Karla Mcdonald,76,L267,2019-09-06,001-000-749-6771x9332,Djibouti,Research scientist (maths),Student,Platinum,172354,414684,1,17285,4,25649,0,0,No,20956,0,Low,R1067,2,A113
C1068,Zachary Atkinson,35,L268,2020-03-01,106-771-6500,Aruba,Chief Financial Officer,Premium,Silver,71738,405599,4,1877,1,16639,0,1,No,1865,0,Low,R1068,3,A112
C1069,Lisa Arnold,22,L269,2006-01-25,836.713.7825x902,Ireland,Clinical biochemist,Student,Gold,69133,490373,1,6660,0,64773,1,1,No,9566,0,Low,R1069,1,A117
C1070,Barbara Perez,35,L270,2009-03-11,(714)306-3637x81649,Belarus,Armed forces training and education officer,Student,Silver,142280,459374,1,5023,1,42533,1,1,Yes,36740,0,Medium,R1070,3,A100
C1071,Heather Brown,25,L271,2011-08-01,076.573.6636,United States Virgin Islands,Environmental consultant,Premium,Bronze,172479,49227,1,1649,0,6743,0,0,Yes,28879,1,High,R1071,1,A119
C1072,Kathryn Lowe,45,L272,2017-05-06,(201)231-0514x80355,Botswana,"Programme researcher, broadcasting/film/video",Business,Gold,124766,169784,3,3421,4,39887,0,0,No,44839,1,Medium,R1072,3,A118
C1073,Daniel Nelson,56,L273,2016-11-25,(007)925-4681x200,French Guiana,Financial risk analyst,Premium,Silver,112034,77234,4,6505,0,83546,1,0,No,44771,2,Medium,R1073,2,A118
C1074,James Davis,41,L274,2013-03-06,001-973-438-1424,Zambia,Careers information officer,Standard,Platinum,149417,234416,2,11836,1,52592,0,0,No,2627,2,High,R1074,2,A116
C1075,Danielle Walters,78,L275,2009-07-05,001-857-546-3337x75508,Rwanda,Medical physicist,Premium,Bronze,115219,308039,4,2011,3,74507,0,0,No,45943,0,Medium,R1075,2,A116
C1076,Kim Salazar MD,47,L276,2007-02-18,(307)367-8372x546,Sierra Leone,"Engineer, energy",Business,Platinum,61799,40474,2,18227,2,71951,0,0,Yes,32912,2,Low,R1076,3,A118
C1077,Gregory Friedman,50,L277,2016-12-24,+1-899-479-9194x562,Mali,Records manager,Standard,Platinum,101294,129917,2,569,3,59825,0,0,No,14514,0,Medium,R1077,3,A104
C1078,Carol Rivera,79,L278,2024-02-28,4353595521,United States Minor Outlying Islands,"Designer, jewellery",Student,Bronze,190064,476775,2,4997,4,61785,1,1,Yes,12777,2,Low,R1078,2,A101
C1079,Sarah Wilson,56,L279,2010-09-05,182-557-6298,Malaysia,Press sub,Student,Platinum,162139,36737,0,6909,1,5802,0,0,Yes,25406,1,Medium,R1079,1,A119
C1080,Jill Morales,51,L280,2025-03-01,001-236-443-9913x20590,Japan,Water engineer,Standard,Platinum,185314,350895,0,2249,1,50582,1,0,No,29973,0,Medium,R1080,1,A116
C1081,Jodi Chan,45,L281,2013-03-29,(117)504-3466,Serbia,Field trials officer,Premium,Platinum,166711,399346,2,12473,4,30997,0,1,No,17279,1,High,R1081,2,A114
C1082,Monica Smith,18,L282,2016-02-14,223.951.9301x916,Belarus,"Engineer, structural",Business,Silver,62044,304292,4,10302,4,82495,0,0,No,28599,2,Low,R1082,1,A100
C1083,Christopher Snyder,20,L283,2014-09-24,3775561672,Egypt,Equality and diversity officer,Student,Platinum,38947,417476,0,5454,3,57257,1,0,Yes,34100,1,High,R1083,2,A102
C1084,Elizabeth Stafford,60,L284,2005-12-26,113-811-4349x09237,Colombia,"Engineer, technical sales",Student,Gold,93348,128755,3,1471,4,68244,0,0,Yes,6096,1,Medium,R1084,3,A108
C1085,Jennifer Manning,36,L285,2025-02-09,(059)774-3472,Seychelles,"Radiographer, therapeutic",Business,Silver,71162,178841,4,12552,1,67625,1,1,Yes,28302,2,Medium,R1085,1,A114
C1086,John Walker,77,L286,2012-06-01,460.191.5706,Canada,Civil Service fast streamer,Business,Gold,26610,238465,3,15163,3,52772,0,1,Yes,28370,2,Low,R1086,3,A109
C1087,Melissa Patel,26,L287,2010-09-10,2235434148,Saint Kitts and Nevis,Market researcher,Business,Bronze,98822,404146,0,8442,4,50612,0,0,No,44595,1,Medium,R1087,2,A110
C1088,Timothy Johnson,41,L288,2022-03-01,5294441207,Comoros,"Research officer, government",Student,Silver,69533,256311,3,11154,1,31462,0,0,No,4855,0,Medium,R1088,1,A111
C1089,James Taylor,21,L289,2023-12-10,001-745-374-7959x89117,Turkey,"Engineer, petroleum",Business,Platinum,147463,186757,3,14616,3,45731,0,1,Yes,20724,1,Low,R1089,1,A106
C1090,Justin Esparza,52,L290,2024-01-21,9719768271,Gabon,Television/film/video producer,Business,Platinum,68302,32519,1,16974,2,17916,1,1,No,43841,2,High,R1090,2,A107
C1091,Sean Ruiz,76,L291,2019-10-05,410-130-2507x5819,Canada,"Administrator, arts",Premium,Platinum,31124,146279,0,3279,1,72564,0,1,Yes,32122,2,Medium,R1091,1,A101
C1092,Logan Barnett,32,L292,2008-05-26,+1-875-553-5177x4850,Moldova,Firefighter,Student,Gold,175526,208967,1,3741,4,51810,0,1,No,43752,1,Medium,R1092,3,A105
C1093,John Lopez,34,L293,2010-01-07,(575)995-7548,Cyprus,Homeopath,Business,Silver,79025,495671,1,10170,0,72486,0,1,No,6643,2,Medium,R1093,2,A118
C1094,Elizabeth Reilly,62,L294,2012-12-29,(143)738-4912x5754,South Georgia and the South Sandwich Islands,Statistician,Business,Platinum,126139,363094,3,19775,0,87944,1,1,No,24972,0,Medium,R1094,3,A112
C1095,Jerry Reynolds,33,L295,2022-10-30,7588566346,Comoros,Technical brewer,Student,Gold,26618,403157,2,6501,0,40194,0,1,Yes,33873,2,Medium,R1095,1,A109
C1096,David Herring,42,L296,2014-06-16,001-421-326-1708,Fiji,Company secretary,Business,Gold,119266,396354,4,6192,3,91267,1,1,Yes,1470,2,High,R1096,2,A101
C1097,Jennifer Jones,46,L297,2015-07-17,(076)692-4890,Finland,Ship broker,Student,Bronze,130367,244503,3,112,0,55645,1,1,Yes,24036,0,Medium,R1097,1,A106
C1098,Joshua Thomas,33,L298,2015-02-04,736.626.0039,Zimbabwe,"Surveyor, hydrographic",Business,Bronze,181328,331776,1,1056,3,24355,0,0,No,19794,0,Low,R1098,2,A110
C1099,Matthew Strong,19,L299,2019-03-19,554.928.3849x964,Saint Lucia,Hospital pharmacist,Student,Bronze,145691,93709,1,2966,2,38056,0,1,Yes,16859,0,Medium,R1099,2,A117
C1100,Mark Smith,71,L300,2025-02-23,292-670-2747x8198,Cote d'Ivoire,Intelligence analyst,Standard,Platinum,143075,35388,4,5577,3,95398,1,1,Yes,30756,2,High,R1100,2,A110
C1101,Joel Maldonado,28,L301,2008-08-03,2181583889,Dominican Republic,"Engineer, manufacturing systems",Student,Bronze,147265,362550,3,6974,4,95050,0,0,No,36990,0,Medium,R1101,3,A110
C1102,Justin Cook,69,L302,2018-10-06,(396)397-1843x67375,Reunion,Public relations account executive,Business,Silver,116169,51082,1,7574,2,84066,1,1,No,41112,2,Medium,R1102,3,A104
C1103,Jesse Roberts,77,L303,2005-12-20,041-523-5320,Iran,Armed forces technical officer,Standard,Bronze,169065,386687,2,9667,1,14142,0,1,No,40674,2,High,R1103,3,A105
C1104,Christine Heath,55,L304,2024-10-03,+1-597-053-2462x3961,United Kingdom,Theatre stage manager,Business,Gold,76054,391935,0,18704,1,11096,1,0,Yes,38789,2,Low,R1104,2,A109
C1105,Michael Fields,33,L305,2022-04-10,+1-043-726-1640x96961,Poland,Comptroller,Premium,Platinum,164132,177835,1,1438,2,61424,0,1,No,28095,1,High,R1105,3,A108
C1106,Brad Lucas,48,L306,2023-04-07,409.694.6990,Tokelau,"Designer, exhibition/display",Standard,Silver,177496,459160,4,1140,0,41483,0,1,No,48020,1,High,R1106,2,A102
C1107,Teresa Robbins,19,L307,2021-07-20,020.758.2565x315,Comoros,Risk analyst,Business,Platinum,136934,457550,1,7301,2,86314,1,0,Yes,9013,1,Medium,R1107,2,A117
C1108,Michelle Clarke,61,L308,2021-08-27,699.159.2298,Holy See (Vatican City State),"Surveyor, rural practice",Student,Silver,189742,108057,2,8713,2,82301,0,0,No,42464,1,High,R1108,2,A104
C1109,Rick Baker,25,L309,2020-04-08,229-583-7257x789,Benin,Primary school teacher,Business,Bronze,122244,225104,2,6084,0,3218,0,0,Yes,7451,0,High,R1109,2,A115
C1110,Nicole Parsons,21,L310,2021-03-20,8814388385,Cameroon,Mental health nurse,Standard,Gold,128444,170841,4,12014,4,18747,1,0,No,35809,2,High,R1110,1,A101
C1111,Anna Watts,33,L311,2012-07-29,2445119780,Saint Helena,Veterinary surgeon,Premium,Silver,91970,124815,3,7802,1,77936,0,1,No,36307,2,Low,R1111,3,A108
C1112,George Stokes,25,L312,2006-11-05,738-177-5331x811,Canada,Freight forwarder,Standard,Gold,143942,424283,3,5911,3,46815,1,0,No,36581,0,Medium,R1112,2,A105
C1113,Jose Alvarado,78,L313,2013-06-07,914.251.4230,Bhutan,Chartered public finance accountant,Business,Gold,56246,337667,2,8813,1,28604,0,1,No,12594,0,Medium,R1113,1,A119
C1114,Sandra Long,32,L314,2022-11-12,001-530-015-8973x075,French Southern Territories,Information systems manager,Student,Bronze,183635,123142,1,7834,4,46608,1,1,No,49412,0,Low,R1114,3,A111
C1115,Jonathan Allen,60,L315,2008-02-21,771-814-1413,Brazil,"Engineer, building services",Standard,Bronze,38648,353991,3,16151,3,23423,0,0,No,1988,2,Low,R1115,3,A119
C1116,Brenda Moran,25,L316,2007-05-12,+1-332-443-8283x77046,Trinidad and Tobago,Forensic scientist,Business,Platinum,169208,1811,1,15164,4,94000,1,1,Yes,27485,0,Low,R1116,2,A105
C1117,Kelly Williams,69,L317,2012-09-10,+1-909-580-9456x0941,Turkey,"Chemist, analytical",Business,Bronze,117860,344813,3,18220,3,17539,0,1,No,10821,1,High,R1117,3,A110
C1118,Chad Fletcher,20,L318,2014-03-28,001-833-151-3724x809,Belize,Warehouse manager,Business,Bronze,46117,249604,4,6417,1,60818,1,0,Yes,36352,1,Medium,R1118,3,A101
C1119,Beth Baker,22,L319,2018-08-16,001-475-881-2188,Kiribati,Chartered certified accountant,Business,Gold,36353,314224,1,8593,1,99573,0,1,No,635,0,High,R1119,3,A116
C1120,Marissa Levine,20,L320,2011-02-20,7309179297,Guyana,Futures trader,Standard,Bronze,86907,191892,4,4984,1,86882,1,1,No,18654,0,Low,R1120,1,A117
C1121,Lisa Snyder,73,L321,2014-12-20,(288)277-7140,Poland,Special educational needs teacher,Premium,Gold,161368,193722,0,3219,1,25920,0,1,No,20627,1,High,R1121,3,A112
C1122,Sherry Horn,59,L322,2020-11-12,326-418-6162,Hong Kong,"Development worker, international aid",Student,Platinum,157759,22054,2,16222,2,15809,1,1,Yes,939,1,High,R1122,3,A107
C1123,Amy Brown,46,L323,2013-05-11,047-331-3669,Thailand,Best boy,Student,Platinum,124876,231757,1,15575,4,52544,1,0,Yes,19215,1,Low,R1123,1,A101
C1124,Lisa Schneider,58,L324,2013-11-23,+1-392-771-2749x648,France,Building surveyor,Premium,Bronze,135942,19458,0,9661,4,42265,0,1,Yes,49400,0,High,R1124,2,A106
C1125,Samuel Valenzuela,46,L325,2015-06-14,(169)576-7887x7632,United States Minor Outlying Islands,Industrial buyer,Premium,Gold,54801,180830,4,18088,0,61788,1,1,No,40194,0,High,R1125,2,A115
C1126,Brett Martinez,47,L326,2020-12-07,(050)326-8120,Nicaragua,Orthoptist,Standard,Gold,53462,67694,4,16619,4,30128,1,1,No,44696,1,High,R1126,3,A109
C1127,Maria Jenkins,33,L327,2019-02-10,+1-798-718-1638x6473,Vietnam,Building control surveyor,Standard,Silver,155117,221968,0,18611,4,32054,0,0,Yes,40145,2,Medium,R1127,2,A115
C1128,Raymond Pollard,59,L328,2012-01-30,3809187469,American Samoa,Advice worker,Business,Gold,172530,99900,4,11406,0,69211,0,0,Yes,40962,2,High,R1128,1,A102
C1129,Brent Church,41,L329,2025-06-01,+1-959-927-9952,Guinea,"Psychologist, occupational",Business,Silver,54837,178727,1,13112,1,52529,0,1,Yes,27705,2,Medium,R1129,3,A107
C1130,Heather Page,57,L330,2011-02-06,968.363.6481x6320,Nigeria,"Engineer, electronics",Business,Platinum,63915,31084,3,19782,1,76152,0,0,Yes,38229,1,Low,R1130,2,A100
C1131,Timothy Thornton,60,L331,2005-09-12,+1-712-010-0974,Netherlands Antilles,Pensions consultant,Standard,Bronze,195362,377100,0,16997,4,50250,0,1,Yes,36840,0,Low,R1131,2,A100
C1132,Jerry Farrell,78,L332,2024-09-29,823-337-1903,Kiribati,Games developer,Standard,Platinum,110666,426667,0,9569,2,73508,0,1,Yes,46414,2,High,R1132,2,A119
C1133,Jennifer Chang,63,L333,2009-12-23,001-829-121-3408x948,Holy See (Vatican City State),IT consultant,Premium,Silver,106406,408862,3,7106,4,14749,1,0,No,14539,2,High,R1133,3,A116
C1134,Erin Jackson,45,L334,2015-03-29,544-649-1285x450,Eritrea,Legal secretary,Standard,Silver,128664,472690,4,12493,4,15815,1,0,No,32658,2,High,R1134,3,A115
C1135,Katherine Baker,50,L335,2017-05-20,0427818785,Iraq,"Conservation officer, nature",Standard,Bronze,157638,184886,0,4728,4,48354,1,0,No,5153,2,High,R1135,3,A117
C1136,Russell Osborne,72,L336,2005-12-24,9836092778,Chile,Quality manager,Standard,Silver,27486,289899,2,16899,2,61461,1,1,No,33060,1,Low,R1136,1,A109
C1137,Maria Petersen,35,L337,2007-11-18,126.360.6709,Netherlands,Media buyer,Business,Bronze,33034,50575,3,8786,4,68978,1,1,Yes,33046,1,Medium,R1137,1,A101
C1138,Michael Mullen,33,L338,2020-09-03,297.925.9495,Gabon,"Pharmacist, community",Business,Silver,25695,319295,1,17610,2,33876,1,1,No,43340,0,Medium,R1138,1,A107
C1139,Shawn Ortega,47,L339,2016-09-24,001-469-560-2791x533,Nepal,Midwife,Premium,Silver,68853,14605,4,10971,3,18132,1,0,No,25567,2,Low,R1139,3,A107
C1140,Angela Whitney,51,L340,2021-10-16,372.538.2007x0950,Palestinian Territory,"Secretary, company",Premium,Gold,94456,20864,0,693,1,46570,1,0,Yes,11660,2,Medium,R1140,1,A106
C1141,Dean Morrow,30,L341,2023-11-24,795.543.8234,Northern Mariana Islands,Town planner,Standard,Gold,107337,88189,2,14621,3,50677,1,1,Yes,49077,1,High,R1141,2,A112
